priority,category,segment_id,page,place_or_field,current_value,issue,question,recommended_action,manual_result,notes
P0,OCR 地名复核,seg-002,54,旧县村,旧县村,重点地名 OCR 或标题页识别存在不稳定处，可能影响起终点、途经地或路线理解。,请回看 PDF 原书扫描页，确认该地名的正确写法、上下文和是否属于路线事实。,以原书扫描图为准；未确认前不修改路线数据。,,昌平镇 -> 居庸关
P0,OCR 地名复核,seg-003,76;88,八达岭 / 居庸关,八达岭 / 居庸关,重点地名 OCR 或标题页识别存在不稳定处，可能影响起终点、途经地或路线理解。,请回看 PDF 原书扫描页，确认该地名的正确写法、上下文和是否属于路线事实。,以原书扫描图为准；未确认前不修改路线数据。,,居庸关 -> 延庆旧县镇
P0,OCR 地名复核,seg-006,148;150,不堡子村,不堡子村,重点地名 OCR 或标题页识别存在不稳定处，可能影响起终点、途经地或路线理解。,请回看 PDF 原书扫描页，确认该地名的正确写法、上下文和是否属于路线事实。,以原书扫描图为准；未确认前不修改路线数据。,,长伸地村 -> 龙门所镇
P0,OCR 地名复核,seg-007,172;174;191,塘子庙,塘子庙,重点地名 OCR 或标题页识别存在不稳定处，可能影响起终点、途经地或路线理解。,请回看 PDF 原书扫描页，确认该地名的正确写法、上下文和是否属于路线事实。,以原书扫描图为准；未确认前不修改路线数据。,,龙门所 -> 白草镇
P0,OCR 地名复核,seg-010,240;242;251,馒头山村 / 石柱村,馒头山村 / 石柱村,重点地名 OCR 或标题页识别存在不稳定处，可能影响起终点、途经地或路线理解。,请回看 PDF 原书扫描页，确认该地名的正确写法、上下文和是否属于路线事实。,以原书扫描图为准；未确认前不修改路线数据。,,小厂镇 -> 五花草甸
P0,OCR 地名复核,seg-012,280;286,水泉淖尔 / 圆图淖尔,水泉淖尔 / 圆图淖尔,重点地名 OCR 或标题页识别存在不稳定处，可能影响起终点、途经地或路线理解。,请回看 PDF 原书扫描页，确认该地名的正确写法、上下文和是否属于路线事实。,以原书扫描图为准；未确认前不修改路线数据。,,沽源县城 -> 塞北管理区
P0,OCR 地名复核,seg-013,302;313,河北内蒙古分界线,河北内蒙古分界线,重点地名 OCR 或标题页识别存在不稳定处，可能影响起终点、途经地或路线理解。,请回看 PDF 原书扫描页，确认该地名的正确写法、上下文和是否属于路线事实。,以原书扫描图为准；未确认前不修改路线数据。,,塞北管理区 -> 黑城子镇
P0,OCR 地名复核,seg-014,322;324,滦河东岸沙丘,滦河东岸沙丘,重点地名 OCR 或标题页识别存在不稳定处，可能影响起终点、途经地或路线理解。,请回看 PDF 原书扫描页，确认该地名的正确写法、上下文和是否属于路线事实。,以原书扫描图为准；未确认前不修改路线数据。,,黑城子 -> 四郎城
P0,路线连续性复核,seg-003,76;88;96;98,movement_type / continuity_status / gap_notes,movement_type=mixed; continuity_status=gap_after; walkability_status=partially_walkable; modern_followability=needs_field_check; do_not_connect_in_gpx=True,该段涉及断点、补走、乘车或状态特殊逻辑，可能影响复走理解。,请核对 book_refs 和原图，确认当前 movement_type / continuity_status / gap_notes 判断是否被书中文字支持。,如不一致，先在 manual_result 记录人工结论，再另起数据修正任务。,,居庸关 -> 延庆旧县镇
P0,路线连续性复核,seg-008,192;194;205;207,movement_type / continuity_status / gap_notes,movement_type=mixed; continuity_status=gap_after; walkability_status=partially_walkable; modern_followability=needs_field_check; do_not_connect_in_gpx=True,该段涉及断点、补走、乘车或状态特殊逻辑，可能影响复走理解。,请核对 book_refs 和原图，确认当前 movement_type / continuity_status / gap_notes 判断是否被书中文字支持。,如不一致，先在 manual_result 记录人工结论，再另起数据修正任务。,,白草镇 -> 老掌沟
P0,路线连续性复核,seg-009,216;220;232;218;221;222;224;228,movement_type / continuity_status / gap_notes,movement_type=mixed; continuity_status=gap_before; walkability_status=book_walkable; modern_followability=approximate_only; do_not_connect_in_gpx=False,该段涉及断点、补走、乘车或状态特殊逻辑，可能影响复走理解。,请核对 book_refs 和原图，确认当前 movement_type / continuity_status / gap_notes 判断是否被书中文字支持。,如不一致，先在 manual_result 记录人工结论，再另起数据修正任务。,,老掌沟 -> 小厂镇
P0,路线连续性复核,seg-010,240;242;251;260;245,movement_type / continuity_status / gap_notes,movement_type=mixed; continuity_status=gap_after; walkability_status=partially_walkable; modern_followability=needs_field_check; do_not_connect_in_gpx=True,该段涉及断点、补走、乘车或状态特殊逻辑，可能影响复走理解。,请核对 book_refs 和原图，确认当前 movement_type / continuity_status / gap_notes 判断是否被书中文字支持。,如不一致，先在 manual_result 记录人工结论，再另起数据修正任务。,,小厂镇 -> 五花草甸
P0,路线连续性复核,seg-011,262;265;277;273,movement_type / continuity_status / gap_notes,movement_type=mixed; continuity_status=gap_before; walkability_status=partially_walkable; modern_followability=needs_field_check; do_not_connect_in_gpx=True,该段涉及断点、补走、乘车或状态特殊逻辑，可能影响复走理解。,请核对 book_refs 和原图，确认当前 movement_type / continuity_status / gap_notes 判断是否被书中文字支持。,如不一致，先在 manual_result 记录人工结论，再另起数据修正任务。,,五花草甸 -> 沽源县城
P0,路线连续性复核,seg-013,302;304;314;318;305;313,movement_type / continuity_status / gap_notes,movement_type=mixed; continuity_status=gap_after; walkability_status=partially_walkable; modern_followability=needs_field_check; do_not_connect_in_gpx=True,该段涉及断点、补走、乘车或状态特殊逻辑，可能影响复走理解。,请核对 book_refs 和原图，确认当前 movement_type / continuity_status / gap_notes 判断是否被书中文字支持。,如不一致，先在 manual_result 记录人工结论，再另起数据修正任务。,,塞北管理区 -> 黑城子镇
