task_id,priority,category,target_id,target_title,review_question,source_file,manual_result,notes
p0-public-boundary-001,P0,public_boundary,public-layer,Public reading-guide files,"Confirm public files contain no private paths, no source text, and no long excerpts.",projects/second-reading-guide/public/*.json,,Boundary review before any status promotion.
p0-book-overview-001,P0,book_overview,book_overview,Book overview,Confirm the overview accurately describes the draft as structural and conservative.,projects/second-reading-guide/public/book_overview.json,,
p0-quote-policy-001,P0,quote_policy,quote_index,Quote index policy,Confirm quote entries use structural_no_quote and do not publish source quotations.,projects/second-reading-guide/public/quote_index.json,,
p0-schema-status-001,P0,schema_status,reading-guide.v0.2,Schema and status,Confirm schema_version is reading-guide.v0.2 and status remains draft.,projects/second-reading-guide/public/*.json,,
p0-web-mirror-001,P0,web_mirror,web-public-mirror,Web public mirror,Confirm web mirror JSON files match project public JSON files.,web/public/projects/second-reading-guide/*.json,,
p0-chapter-sample-001,P0,chapter_card_sample,chapter-001,第1封 3月17日~18日 娘子关→骊山→西安,Spot-check that this chapter card is derived only from structural metadata.,projects/second-reading-guide/public/chapter_reading_cards.json,,Required P0 sample coverage across the 25 chapter cards.
p0-chapter-sample-007,P0,chapter_card_sample,chapter-007,第7封 4月2日~3日 贵阳流山→桂林伏波山/七星山/象鼻山/漓江,Spot-check that this chapter card is derived only from structural metadata.,projects/second-reading-guide/public/chapter_reading_cards.json,,Required P0 sample coverage across the 25 chapter cards.
p0-chapter-sample-013,P0,chapter_card_sample,chapter-013,第13封 4月13日~14日 汕头看海,Spot-check that this chapter card is derived only from structural metadata.,projects/second-reading-guide/public/chapter_reading_cards.json,,Required P0 sample coverage across the 25 chapter cards.
p0-chapter-sample-019,P0,chapter_card_sample,chapter-019,第19封 4月28日~5月2日 千古如斯的余杭,Spot-check that this chapter card is derived only from structural metadata.,projects/second-reading-guide/public/chapter_reading_cards.json,,Required P0 sample coverage across the 25 chapter cards.
p0-chapter-sample-025,P0,chapter_card_sample,chapter-025,第25封 5月18日~23日 沪青海航→青岛崂山→返京,Spot-check that this chapter card is derived only from structural metadata.,projects/second-reading-guide/public/chapter_reading_cards.json,,Required P0 sample coverage across the 25 chapter cards.
p1-chapter-card-001,P1,chapter_card,chapter-001,第1封 3月17日~18日 娘子关→骊山→西安,"Review title, places, themes, counts, and structural evidence reference.",projects/second-reading-guide/public/chapter_reading_cards.json,,
p1-chapter-card-002,P1,chapter_card,chapter-002,第2封 3月19日~20日 半坡/碑林→成都,"Review title, places, themes, counts, and structural evidence reference.",projects/second-reading-guide/public/chapter_reading_cards.json,,
p1-chapter-card-003,P1,chapter_card,chapter-003,第3封 3月21日~23日 杜甫草堂/武侯祠→青城山,"Review title, places, themes, counts, and structural evidence reference.",projects/second-reading-guide/public/chapter_reading_cards.json,,
p1-chapter-card-004,P1,chapter_card,chapter-004,第4封 3月24日~26日 乐山大佛/青衣亭→峨嵋山脚,"Review title, places, themes, counts, and structural evidence reference.",projects/second-reading-guide/public/chapter_reading_cards.json,,
p1-chapter-card-005,P1,chapter_card,chapter-005,第5封 3月26日~29日 峨嵋车站→成昆线隧道→昆明车站,"Review title, places, themes, counts, and structural evidence reference.",projects/second-reading-guide/public/chapter_reading_cards.json,,
p1-chapter-card-006,P1,chapter_card,chapter-006,第6封 3月31日~4月1日 昆明温泉/西山/石林→贵阳花溪,"Review title, places, themes, counts, and structural evidence reference.",projects/second-reading-guide/public/chapter_reading_cards.json,,
p1-chapter-card-007,P1,chapter_card,chapter-007,第7封 4月2日~3日 贵阳流山→桂林伏波山/七星山/象鼻山/漓江,"Review title, places, themes, counts, and structural evidence reference.",projects/second-reading-guide/public/chapter_reading_cards.json,,
p1-chapter-card-008,P1,chapter_card,chapter-008,第8封 4月3日~5日 桂林南溪山月岸/叠彩峰/隐山→阳朔,"Review title, places, themes, counts, and structural evidence reference.",projects/second-reading-guide/public/chapter_reading_cards.json,,
p1-chapter-card-009,P1,chapter_card,chapter-009,第9封 4月5日~7日 漓江→阳朔→梧州,"Review title, places, themes, counts, and structural evidence reference.",projects/second-reading-guide/public/chapter_reading_cards.json,,
p1-chapter-card-010,P1,chapter_card,chapter-010,第10封 4月7日~8日 梧州西江种种,"Review title, places, themes, counts, and structural evidence reference.",projects/second-reading-guide/public/chapter_reading_cards.json,,
p1-chapter-card-011,P1,chapter_card,chapter-011,第11封 4月8日~9日 肇庆天柱阁,"Review title, places, themes, counts, and structural evidence reference.",projects/second-reading-guide/public/chapter_reading_cards.json,,
p1-chapter-card-012,P1,chapter_card,chapter-012,第12封 4月9日~11日 广州中山大学/白云山,"Review title, places, themes, counts, and structural evidence reference.",projects/second-reading-guide/public/chapter_reading_cards.json,,
p1-chapter-card-013,P1,chapter_card,chapter-013,第13封 4月13日~14日 汕头看海,"Review title, places, themes, counts, and structural evidence reference.",projects/second-reading-guide/public/chapter_reading_cards.json,,
p1-chapter-card-014,P1,chapter_card,chapter-014,第14封 4月15日~16日 云霄→漳浦→漳州→厦门→福州→鼓浪屿,"Review title, places, themes, counts, and structural evidence reference.",projects/second-reading-guide/public/chapter_reading_cards.json,,
p1-chapter-card-015,P1,chapter_card,chapter-015,第15封 4月17日~19日 泉州→福州西湖/戚公祠/乌龙江大桥/涌泉寺,"Review title, places, themes, counts, and structural evidence reference.",projects/second-reading-guide/public/chapter_reading_cards.json,,
p1-chapter-card-016,P1,chapter_card,chapter-016,第16封 4月20日~22日 福安交溪→福鼎灵溪→南雁荡/会文书院→北雁荡,"Review title, places, themes, counts, and structural evidence reference.",projects/second-reading-guide/public/chapter_reading_cards.json,,
p1-chapter-card-017,P1,chapter_card,chapter-017,第17封 4月23日~25日 温州北雁荡由浅入深,"Review title, places, themes, counts, and structural evidence reference.",projects/second-reading-guide/public/chapter_reading_cards.json,,
p1-chapter-card-018,P1,chapter_card,chapter-018,第18封 4月28日 朝辞雁荡暮至余杭,"Review title, places, themes, counts, and structural evidence reference.",projects/second-reading-guide/public/chapter_reading_cards.json,,
p1-chapter-card-019,P1,chapter_card,chapter-019,第19封 4月28日~5月2日 千古如斯的余杭,"Review title, places, themes, counts, and structural evidence reference.",projects/second-reading-guide/public/chapter_reading_cards.json,,
p1-chapter-card-020,P1,chapter_card,chapter-020,第20封 5月4日~5日 黄山天都峰排云亭,"Review title, places, themes, counts, and structural evidence reference.",projects/second-reading-guide/public/chapter_reading_cards.json,,
p1-chapter-card-021,P1,chapter_card,chapter-021,第21封 5月6日~8日 青阳九华山/安庆小孤山,"Review title, places, themes, counts, and structural evidence reference.",projects/second-reading-guide/public/chapter_reading_cards.json,,
p1-chapter-card-022,P1,chapter_card,chapter-022,第22封 5月8日~11日 鄱阳五老峰/三叠瀑,"Review title, places, themes, counts, and structural evidence reference.",projects/second-reading-guide/public/chapter_reading_cards.json,,
p1-chapter-card-023,P1,chapter_card,chapter-023,第23封 5月11日~14日 南京中山陵/玄武湖→苏州园林,"Review title, places, themes, counts, and structural evidence reference.",projects/second-reading-guide/public/chapter_reading_cards.json,,
p1-chapter-card-024,P1,chapter_card,chapter-024,第24封 5月15日~17日 苏州天平山沧浪亭→上海,"Review title, places, themes, counts, and structural evidence reference.",projects/second-reading-guide/public/chapter_reading_cards.json,,
p1-chapter-card-025,P1,chapter_card,chapter-025,第25封 5月18日~23日 沪青海航→青岛崂山→返京,"Review title, places, themes, counts, and structural evidence reference.",projects/second-reading-guide/public/chapter_reading_cards.json,,
p1-key-concept-001,P1,key_concept,concept-001,旅行书信,Review whether this concept grouping is reasonable as a structural draft.,projects/second-reading-guide/public/key_concepts.json,,
p1-key-concept-002,P1,key_concept,concept-002,山水行旅,Review whether this concept grouping is reasonable as a structural draft.,projects/second-reading-guide/public/key_concepts.json,,
p1-key-concept-003,P1,key_concept,concept-003,城市与旅途,Review whether this concept grouping is reasonable as a structural draft.,projects/second-reading-guide/public/key_concepts.json,,
p1-key-concept-004,P1,key_concept,concept-004,多段叙述,Review whether this concept grouping is reasonable as a structural draft.,projects/second-reading-guide/public/key_concepts.json,,
p1-key-concept-005,P1,key_concept,concept-005,长篇行旅记录,Review whether this concept grouping is reasonable as a structural draft.,projects/second-reading-guide/public/key_concepts.json,,
p1-reading-question-001,P1,reading_question,book-question-001,这 25 封书信如何按照行程顺序展开出一条阅读路线？,Review whether this reading question is useful and appropriately conservative.,projects/second-reading-guide/public/reading_questions.json,,
p1-reading-question-002,P1,reading_question,letter-question-001,阅读“第1封 3月17日~18日 娘子关→骊山→西安”时，可以如何把 娘子关、骊山、西安 与本封书信的行旅结构联系起来？,Review whether this reading question is useful and appropriately conservative.,projects/second-reading-guide/public/reading_questions.json,,
p1-reading-question-003,P1,reading_question,letter-question-002,阅读“第2封 3月19日~20日 半坡/碑林→成都”时，可以如何把 半坡、碑林、成都 与本封书信的行旅结构联系起来？,Review whether this reading question is useful and appropriately conservative.,projects/second-reading-guide/public/reading_questions.json,,
