task_id,priority,category,target_id,target_title,manual_result,notes,reviewer,reviewed_at
p0-public-boundary-001,P0,public_boundary,public-layer,Public reading-guide files,,,,
p0-book-overview-001,P0,book_overview,book_overview,Book overview,,,,
p0-quote-policy-001,P0,quote_policy,quote_index,Quote index policy,,,,
p0-schema-status-001,P0,schema_status,reading-guide.v0.2,Schema and status,,,,
p0-web-mirror-001,P0,web_mirror,web-public-mirror,Web public mirror,,,,
p0-chapter-sample-001,P0,chapter_card_sample,chapter-001,第1封 3月17日~18日 娘子关→骊山→西安,,,,
p0-chapter-sample-007,P0,chapter_card_sample,chapter-007,第7封 4月2日~3日 贵阳流山→桂林伏波山/七星山/象鼻山/漓江,,,,
p0-chapter-sample-013,P0,chapter_card_sample,chapter-013,第13封 4月13日~14日 汕头看海,,,,
p0-chapter-sample-019,P0,chapter_card_sample,chapter-019,第19封 4月28日~5月2日 千古如斯的余杭,,,,
p0-chapter-sample-025,P0,chapter_card_sample,chapter-025,第25封 5月18日~23日 沪青海航→青岛崂山→返京,,,,
p1-chapter-card-001,P1,chapter_card,chapter-001,第1封 3月17日~18日 娘子关→骊山→西安,,,,
p1-chapter-card-002,P1,chapter_card,chapter-002,第2封 3月19日~20日 半坡/碑林→成都,,,,
p1-chapter-card-003,P1,chapter_card,chapter-003,第3封 3月21日~23日 杜甫草堂/武侯祠→青城山,,,,
p1-chapter-card-004,P1,chapter_card,chapter-004,第4封 3月24日~26日 乐山大佛/青衣亭→峨嵋山脚,,,,
p1-chapter-card-005,P1,chapter_card,chapter-005,第5封 3月26日~29日 峨嵋车站→成昆线隧道→昆明车站,,,,
p1-chapter-card-006,P1,chapter_card,chapter-006,第6封 3月31日~4月1日 昆明温泉/西山/石林→贵阳花溪,,,,
p1-chapter-card-007,P1,chapter_card,chapter-007,第7封 4月2日~3日 贵阳流山→桂林伏波山/七星山/象鼻山/漓江,,,,
p1-chapter-card-008,P1,chapter_card,chapter-008,第8封 4月3日~5日 桂林南溪山月岸/叠彩峰/隐山→阳朔,,,,
p1-chapter-card-009,P1,chapter_card,chapter-009,第9封 4月5日~7日 漓江→阳朔→梧州,,,,
p1-chapter-card-010,P1,chapter_card,chapter-010,第10封 4月7日~8日 梧州西江种种,,,,
p1-chapter-card-011,P1,chapter_card,chapter-011,第11封 4月8日~9日 肇庆天柱阁,,,,
p1-chapter-card-012,P1,chapter_card,chapter-012,第12封 4月9日~11日 广州中山大学/白云山,,,,
p1-chapter-card-013,P1,chapter_card,chapter-013,第13封 4月13日~14日 汕头看海,,,,
p1-chapter-card-014,P1,chapter_card,chapter-014,第14封 4月15日~16日 云霄→漳浦→漳州→厦门→福州→鼓浪屿,,,,
p1-chapter-card-015,P1,chapter_card,chapter-015,第15封 4月17日~19日 泉州→福州西湖/戚公祠/乌龙江大桥/涌泉寺,,,,
p1-chapter-card-016,P1,chapter_card,chapter-016,第16封 4月20日~22日 福安交溪→福鼎灵溪→南雁荡/会文书院→北雁荡,,,,
