excerpt_task_id,letter_id,section_id,chapter_title,excerpt_index,placement,excerpt_text,excerpt_note,excerpt_type,linked_question_id,review_priority,review_question,suggested_checks,review_result,review_notes,reviewer,reviewed_at
excerpt-letter-001-001,letter-001,sec-006,第1封 3月17日~18日 娘子关→骊山→西安,1,core,保定有人下车，移到窗边小桌前坐，可以铺开信纸给您们写几个字了。,开篇场景：这段把本封信的行旅现场打开，适合作为快速浏览的第一处文本锚。,opening_scene,book-question-001;letter-question-001,P0,这条摘录是否足以锚定本封信？ 它是否有场景感、地点感或行旅感？ 是否需要补充上下文或替换为更有代表性的片段？ 它是否适合继续放在核心摘录区，还是应移到更多片段？,代表性；场景/地点/行旅感；语义完整；长度节奏；说明是否准确；核心位置是否合适,,,,
excerpt-letter-001-002,letter-001,sec-006,第1封 3月17日~18日 娘子关→骊山→西安,2,core,只是石家庄后，车厢里挤满了人，所以到站停靠时没下车，也看不清“关”在哪里。,路线移动：这段能看到作者在交通、道路或抵达过程中的实际感受。,route_movement,,P1,这条摘录是否足以锚定本封信？ 它是否有场景感、地点感或行旅感？ 是否需要补充上下文或替换为更有代表性的片段？ 它是否适合继续放在核心摘录区，还是应移到更多片段？,代表性；场景/地点/行旅感；语义完整；长度节奏；说明是否准确；核心位置是否合适,,,,
excerpt-letter-001-003,letter-001,sec-006,第1封 3月17日~18日 娘子关→骊山→西安,3,extra,登了骊山，又扛着衣物跑了6里路赶火车，腿都要折了。,地点描写：这段直接触及骊山，适合作为理解本封信地点经验的文本入口。,place_description,,P2,这条摘录是否足以锚定本封信？ 它是否有场景感、地点感或行旅感？ 是否需要补充上下文或替换为更有代表性的片段？ 它是否值得提升为核心摘录，还是保留在更多片段中？,代表性；场景/地点/行旅感；语义完整；长度节奏；说明是否准确；偏短；是否需要移入核心,,,,
excerpt-letter-001-004,letter-001,sec-006,第1封 3月17日~18日 娘子关→骊山→西安,4,extra,不过，此处的人容貌胜于北京人，也许因为风水好（据说此地鲜有大风沙），也许因为文明的时间比北京更长。,旅途观察：这段保留了风景、城市或环境的现场感，适合先读再看今昔对照。,travel_observation,,P2,这条摘录是否足以锚定本封信？ 它是否有场景感、地点感或行旅感？ 是否需要补充上下文或替换为更有代表性的片段？ 它是否值得提升为核心摘录，还是保留在更多片段中？,代表性；场景/地点/行旅感；语义完整；长度节奏；说明是否准确；是否需要移入核心,,,,
excerpt-letter-002-001,letter-002,sec-007,第2封 3月19日~20日 半坡/碑林→成都,1,core,昨晚又与曹君说了一阵话，读了一本福尔摩斯探案。,开篇场景：这段把本封信的行旅现场打开，适合作为快速浏览的第一处文本锚。,opening_scene,book-question-001;letter-question-002,P0,这条摘录是否足以锚定本封信？ 它是否有场景感、地点感或行旅感？ 是否需要补充上下文或替换为更有代表性的片段？ 它是否适合继续放在核心摘录区，还是应移到更多片段？,代表性；场景/地点/行旅感；语义完整；长度节奏；说明是否准确；偏短；核心位置是否合适,,,,
excerpt-letter-002-002,letter-002,sec-007,第2封 3月19日~20日 半坡/碑林→成都,2,core,北行不久靠在一个小站，站上的工人告诉说，我们原本乘坐的那辆列车前一天在那里翻到山沟里去了。,路线移动：这段能看到作者在交通、道路或抵达过程中的实际感受。,route_movement,,P1,这条摘录是否足以锚定本封信？ 它是否有场景感、地点感或行旅感？ 是否需要补充上下文或替换为更有代表性的片段？ 它是否适合继续放在核心摘录区，还是应移到更多片段？,代表性；场景/地点/行旅感；语义完整；长度节奏；说明是否准确；核心位置是否合适,,,,
excerpt-letter-002-003,letter-002,sec-007,第2封 3月19日~20日 半坡/碑林→成都,3,extra,江油城（中坝）后，进入号称天府之国的成都平原，而景色已无甚可观。,地点描写：这段直接触及成都，适合作为理解本封信地点经验的文本入口。,place_description,,P2,这条摘录是否足以锚定本封信？ 它是否有场景感、地点感或行旅感？ 是否需要补充上下文或替换为更有代表性的片段？ 它是否值得提升为核心摘录，还是保留在更多片段中？,代表性；场景/地点/行旅感；语义完整；长度节奏；说明是否准确；是否需要移入核心,,,,
excerpt-letter-002-004,letter-002,sec-007,第2封 3月19日~20日 半坡/碑林→成都,4,extra,西安人比北京人性情温和，热情周到，多少有点小家气息，不像我们喜欢大而空的排场和风度。,旅途观察：这段保留了风景、城市或环境的现场感，适合先读再看今昔对照。,travel_observation,,P2,这条摘录是否足以锚定本封信？ 它是否有场景感、地点感或行旅感？ 是否需要补充上下文或替换为更有代表性的片段？ 它是否值得提升为核心摘录，还是保留在更多片段中？,代表性；场景/地点/行旅感；语义完整；长度节奏；说明是否准确；是否需要移入核心,,,,
excerpt-letter-003-001,letter-003,sec-008,第3封 3月21日~23日 杜甫草堂/武侯祠→青城山,1,core,成都远近郊区覆盖着油菜花，列车飞速冲进一望无际的金灿灿之中。,开篇场景：这段把本封信的行旅现场打开，适合作为快速浏览的第一处文本锚。,opening_scene,book-question-001;letter-question-003,P0,这条摘录是否足以锚定本封信？ 它是否有场景感、地点感或行旅感？ 是否需要补充上下文或替换为更有代表性的片段？ 它是否适合继续放在核心摘录区，还是应移到更多片段？,代表性；场景/地点/行旅感；语义完整；长度节奏；说明是否准确；核心位置是否合适,,,,
excerpt-letter-003-002,letter-003,sec-008,第3封 3月21日~23日 杜甫草堂/武侯祠→青城山,2,core,沿河的狭长地带是望江公园，有一座“吟诗楼”，楼上几个摩登男女，楼下一条油黑的污水，不像能吟出什么好诗的样子，遂未登楼。,路线移动：这段能看到作者在交通、道路或抵达过程中的实际感受。,route_movement,,P1,这条摘录是否足以锚定本封信？ 它是否有场景感、地点感或行旅感？ 是否需要补充上下文或替换为更有代表性的片段？ 它是否适合继续放在核心摘录区，还是应移到更多片段？,代表性；场景/地点/行旅感；语义完整；长度节奏；说明是否准确；核心位置是否合适,,,,
excerpt-letter-003-003,letter-003,sec-008,第3封 3月21日~23日 杜甫草堂/武侯祠→青城山,3,extra,攀野路至呼应亭，这是青城山的山顶，不过倒平缓了，还有些农家。,地点描写：这段直接触及青城山，适合作为理解本封信地点经验的文本入口。,place_description,,P2,这条摘录是否足以锚定本封信？ 它是否有场景感、地点感或行旅感？ 是否需要补充上下文或替换为更有代表性的片段？ 它是否值得提升为核心摘录，还是保留在更多片段中？,代表性；场景/地点/行旅感；语义完整；长度节奏；说明是否准确；是否需要移入核心,,,,
