name,segment_id,role,page,evidence,lat,lng,coordinate_source,coordinate_confidence,notes
健德门,seg-001,start,30,从健德门到皂甲屯,39.976,116.381,manual approximate Yuan Dadu Jiandemen area,approximate,
皂甲屯,seg-001,end,30,从健德门到皂甲屯,40.128,116.186,manual modern village approximation,approximate,
小月河,seg-001,via,30,从健德门到皂甲屯,40.008,116.37,manual modern river corridor approximation,approximate,
清河,seg-001,via,30,从健德门到皂甲屯,40.035,116.34,manual modern place/river approximation,approximate,
广济桥,seg-001,via,30,从健德门到皂甲屯,40.04,116.34,manual historic bridge area approximation,approximate,
皇后店,seg-001,via,30,从健德门到皂甲屯,40.115,116.245,manual modern village approximation,approximate,
南沙河水库,seg-001,via,30,从健德门到皂甲屯,40.104,116.256,manual modern river crossing approximation,approximate,
南玉河村,seg-001,via,30,从健德门到皂甲屯,40.118,116.195,manual modern village approximation,approximate,
北玉河村,seg-001,via,30,从健德门到皂甲屯,40.143,116.177,manual modern village approximation,approximate,
昌平镇,seg-002,start,54,从昌平到居庸关,40.2207,116.2312,manual modern town center,approximate,
居庸关,seg-002,end,54,从昌平到居庸关,40.2884,116.0697,manual modern scenic/historic site,verified,
旧县村,seg-002,via,54,从昌平到居庸关,40.252,116.18,manual modern village approximation,approximate,
龙虎台村,seg-002,via,54,从昌平到居庸关,40.276,116.153,manual modern village approximation,approximate,
南口村,seg-002,via,54,从昌平到居庸关,40.239,116.128,manual modern town approximation,approximate,
居庸关云台,seg-002,via,54,从昌平到居庸关,40.288,116.068,manual historic site approximation,approximate,
居庸关,seg-003,start,76,从居庸关到延庆,40.2884,116.0697,manual modern scenic/historic site,verified,
延庆旧县镇,seg-003,end,76,从居庸关到延庆,40.497,116.05,manual modern town approximation,approximate,
弹琴峡,seg-003,via,76,从居庸关到延庆,40.305,116.06,manual gorge area approximation,approximate,
水关长城,seg-003,via,76,从居庸关到延庆,40.333,116.035,manual modern scenic site approximation,approximate,
八达岭关城,seg-003,via,76,从居庸关到延庆,40.3598,116.0203,manual modern scenic/historic site,verified,
岔道城,seg-003,via,76,从居庸关到延庆,40.365,115.995,manual historic village approximation,approximate,
小泥河村,seg-003,via,76,从居庸关到延庆,40.401,115.975,manual modern village approximation,approximate,
大泥河村,seg-003,via,76,从居庸关到延庆,40.414,115.957,manual modern village approximation,approximate,
大榆树镇,seg-003,via,76,从居庸关到延庆,40.432,115.94,manual modern town approximation,approximate,
延庆旧县镇,seg-004,start,100,从延庆旧县镇到白河堡水库,40.497,116.05,manual modern town approximation,approximate,
白河堡水库,seg-004,end,100,从延庆旧县镇到白河堡水库,40.624,115.93,manual reservoir approximation,approximate,
车坊,seg-004,via,100,从延庆旧县镇到白河堡水库,40.535,116.07,manual modern village approximation,approximate,
黑峪口村,seg-004,via,100,从延庆旧县镇到白河堡水库,40.58,116.065,manual modern village approximation,approximate,
盘云岭,seg-004,via,100,从延庆旧县镇到白河堡水库,40.64,116.05,manual mountain pass approximation,approximate,
燕山天池宾馆,seg-004,via,100,从延庆旧县镇到白河堡水库,40.624,115.93,manual lodging area approximation near Baihepu Reservoir,approximate,
白河堡水库,seg-005,start,122,从白河堡水库到长伸地村,40.624,115.93,manual reservoir approximation,approximate,
长伸地村,seg-005,end,122,从白河堡水库到长伸地村,40.855,115.73,manual modern village approximation,approximate,
白河河谷,seg-005,via,122,从白河堡水库到长伸地村,40.68,115.9,manual river valley approximation,approximate,
骆驼山,seg-005,via,122,从白河堡水库到长伸地村,40.73,115.86,manual village/mountain area approximation,approximate,
郑家窑村,seg-005,via,122,从白河堡水库到长伸地村,40.79,115.8,manual modern village approximation,approximate,
镇虏楼,seg-005,via,122,从白河堡水库到长伸地村,40.855,115.73,manual historic tower near Changshendi approximation,approximate,
长伸地村,seg-006,start,148,从长伸地村到龙门所镇,40.855,115.73,manual modern village approximation,approximate,
龙门所镇,seg-006,end,148,从长伸地村到龙门所镇,40.98,115.49,manual modern town approximation,approximate,
巡检司村,seg-006,via,148,从长伸地村到龙门所镇,40.885,115.67,manual modern village approximation,approximate,
不堡子村,seg-006,via,148,从长伸地村到龙门所镇,40.91,115.62,manual OCR-normalized village approximation,approximate,
红沙梁,seg-006,via,148,从长伸地村到龙门所镇,40.93,115.58,manual pass/ridge approximation,approximate,
小堡村,seg-006,via,148,从长伸地村到龙门所镇,40.95,115.55,manual modern village approximation,approximate,
龙门所,seg-007,start,172,从龙门所到白草镇,40.98,115.49,manual modern town approximation,approximate,
白草镇,seg-007,end,172,从龙门所到白草镇,41.09,115.22,manual modern town approximation,approximate,
巴图营大桥,seg-007,via,172,从龙门所到白草镇,40.96,115.5,manual bridge area approximation,approximate,
塘子庙,seg-007,via,172,从龙门所到白草镇,40.99,115.42,manual hot spring village approximation,approximate,
东万口乡,seg-007,via,172,从龙门所到白草镇,41.05,115.32,manual modern township approximation,approximate,
白草镇,seg-008,start,192,从白草镇到老掌沟,41.09,115.22,manual modern town approximation,approximate,
老掌沟,seg-008,end,192,从白草镇到老掌沟,41.34,114.94,manual valley/scenic area approximation,approximate,
三道川村,seg-008,via,192,从白草镇到老掌沟,41.14,115.18,manual modern village approximation,approximate,
禹龙山村,seg-008,via,192,从白草镇到老掌沟,41.18,115.13,manual modern village approximation,approximate,
黑龙山村,seg-008,via,192,从白草镇到老掌沟,41.25,115.02,manual modern village approximation,approximate,
山神庙村,seg-008,via,192,从白草镇到老掌沟,41.22,115.06,manual modern village approximation,approximate,
南沟门,seg-008,via,192,从白草镇到老掌沟,41.29,114.98,manual valley entrance approximation,approximate,
老掌沟,seg-009,start,216,从老掌沟到小厂镇,41.34,114.94,manual valley/scenic area approximation,approximate,
小厂镇,seg-009,end,216,从老掌沟到小厂镇,41.57,115.07,manual modern town approximation,approximate,
南沟门,seg-009,via,216,从老掌沟到小厂镇,41.29,114.98,manual valley entrance approximation,approximate,
沟门村,seg-009,via,216,从老掌沟到小厂镇,41.38,114.94,manual modern village approximation,approximate,
前坝村,seg-009,via,216,从老掌沟到小厂镇,41.42,114.95,manual modern village approximation,approximate,
黄土坑村,seg-009,via,216,从老掌沟到小厂镇,41.46,114.97,manual modern village approximation,approximate,
雷大道村,seg-009,via,216,从老掌沟到小厂镇,41.49,114.99,manual modern village approximation,approximate,
三间房村,seg-009,via,216,从老掌沟到小厂镇,41.53,115.03,manual modern village approximation,approximate,
小厂镇,seg-010,start,240,从小厂镇到五花草甸,41.57,115.07,manual modern town approximation,approximate,
五花草甸,seg-010,end,240,从小厂镇到五花草甸,41.75,115.31,manual scenic area approximation,approximate,
馒头山村,seg-010,via,240,从小厂镇到五花草甸,41.6,115.09,manual OCR-normalized village approximation,approximate,
小南滩村,seg-010,via,240,从小厂镇到五花草甸,41.63,115.11,manual modern village approximation,approximate,
石柱村,seg-010,via,240,从小厂镇到五花草甸,41.66,115.14,manual OCR-normalized village approximation,approximate,
石头城水库,seg-010,via,240,从小厂镇到五花草甸,41.69,115.17,manual reservoir approximation,approximate,
石头城村,seg-010,via,240,从小厂镇到五花草甸,41.715,115.18,manual modern village approximation,approximate,
牛群头,seg-010,via,240,从小厂镇到五花草甸,41.72,115.2,manual historic site area approximation,approximate,
五花草甸,seg-011,start,262,从五花草甸到沽源,41.75,115.31,manual scenic area approximation,approximate,
沽源县城,seg-011,end,262,从五花草甸到沽源,41.669,115.688,manual modern county center,approximate,
河东村,seg-011,via,262,从五花草甸到沽源,41.66,115.66,manual modern village approximation near Guyuan,approximate,
闪电河水库,seg-011,via,262,从五花草甸到沽源,41.66,115.7,manual reservoir approximation,approximate,
梳妆楼,seg-011,via,262,从五花草甸到沽源,41.69,115.78,manual historic site approximation,approximate,
沽源县城,seg-012,start,280,从沽源到塞北管理区,41.669,115.688,manual modern county center,approximate,
塞北管理区,seg-012,end,280,从沽源到塞北管理区,41.91,116.12,manual modern area approximation,approximate,
察罕脑儿,seg-012,via,280,从沽源到塞北管理区,41.72,115.86,manual historic lake/palace area approximation,approximate,
小宏城子,seg-012,via,280,从沽源到塞北管理区,41.73,115.86,manual historic site approximation,approximate,
水泉淖尔,seg-012,via,280,从沽源到塞北管理区,41.78,115.93,manual lake approximation,approximate,
转佛庙,seg-012,via,280,从沽源到塞北管理区,41.83,116.03,manual modern village approximation,approximate,
马神庙村,seg-012,via,280,从沽源到塞北管理区,41.88,116.08,manual modern village approximation,approximate,
塞北管理区,seg-013,start,302,从塞北管理区到黑城子,41.91,116.12,manual modern area approximation,approximate,
黑城子镇,seg-013,end,302,从塞北管理区到黑城子,42.13,116.33,manual modern town approximation,approximate,
黄土湾村,seg-013,via,302,从塞北管理区到黑城子,41.96,116.16,manual modern village approximation,approximate,
河北内蒙古分界线,seg-013,via,302,从塞北管理区到黑城子,42.02,116.22,manual boundary crossing approximation,approximate,
明安驿,seg-013,via,302,从塞北管理区到黑城子,42.03,116.24,manual historic post station area approximation,approximate,
李陵台,seg-013,via,302,从塞北管理区到黑城子,42.09,116.28,manual historic site approximation,approximate,
黑城子,seg-014,start,322,从黑城子到四郎城,42.13,116.33,manual modern town approximation,approximate,
四郎城,seg-014,end,322,从黑城子到四郎城,42.24,116.08,manual historic site approximation,approximate,
滦河东岸沙丘,seg-014,via,322,从黑城子到四郎城,42.15,116.32,manual dunes area approximation,approximate,
正蓝旗,seg-014,via,322,从黑城子到四郎城,42.245,116.003,manual modern banner seat approximation,approximate,
上都镇,seg-014,via,322,从黑城子到四郎城,42.245,116.003,manual modern banner seat approximation,approximate,
闪电河,seg-014,via,322,从黑城子到四郎城,41.78,115.95,manual river/area approximation,approximate,
四郎城,seg-015,start,342,从四郎城到上都遗址,42.24,116.08,manual historic site approximation,approximate,
元上都遗址,seg-015,end,342,从四郎城到上都遗址,42.358,116.185,manual approximate Xanadu/Shangdu ruins,approximate,
上都音高勒大桥,seg-015,via,342,从四郎城到上都遗址,42.28,116.08,manual bridge approximation on Shangdu Gol,approximate,
闪电河,seg-015,via,342,从四郎城到上都遗址,41.78,115.95,manual river/area approximation,approximate,
明德门,seg-015,via,342,从四郎城到上都遗址,42.357,116.188,manual approximate Shangdu Mingdemen area,approximate,
