segment_id,page,field,issue,current_value,question,manual_result,notes
seg-001,34,book_refs,书中路线证据核对,我从健德门出发，沿着小月河东岸北行,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,正文说明实际出发点和初始方向。
seg-001,52,book_refs,书中路线证据核对,沿甲屯路东北行，到北玉河村，就到了繁忙喧嚣的沙阳路,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,正文说明皂甲屯后至北玉河、沙阳路，第一日行走计划完成。
seg-001,45,book_refs,书中路线证据核对,找到村民所说的餐馆，点了一碗拉面,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,支持本段途中补给：村民提示餐馆，作者在餐馆吃拉面。
seg-001,30,chapter_refs,章节出处核对,从健德门到皂甲屯,该引用是否只是章节/段落标题出处，而非路线事实证据？,,章节或段落标题来源
seg-001,,lodging,书中未明示,书中未明示；第52页显示之后乘出租车南返。,该字段是否确实无书中明示依据？,,
seg-001,,evidence_status,evidence_status 非 pass,warning,该段证据清理后的 warning 状态是否符合你的人工判断？,,
seg-001,,evidence_notes,证据处理说明核对,已将 1 条章节/路线标题引用移入 chapter_refs，book_refs 仅保留路线事实证据。,该证据处理说明是否需要调整？,,
seg-001,,evidence_notes,证据处理说明核对,resupply: supported_with_new_book_ref; 已按书中证据清理。,该证据处理说明是否需要调整？,,
seg-001,30,review_notes,复核备注,第30页标题图 OCR 将地名连在一起，需回看 PDF 核对标题页地名排布。,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-001,52,review_notes,复核备注,第52页显示行走计划结束后乘出租车南行，不应把乘车路线画入步行线。,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-001,45,review_notes,复核备注,[evidence_audit] unsupported_claim: resupply: 第45页提到村民提示餐馆并在餐馆吃拉面,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-001,,review_notes,复核备注,[evidence_audit] needs_pdf_review: 引用页 OCR 标记需复核: 30,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-001,,gap_notes,断点/GPX 规则,书中显示第一日行走结束后另有乘车南返；本段 GPX 只表达健德门至皂甲屯的步行段，不连接乘车路线。,是否确认存在乘车、补走、断点或不应强连 GPX？,,
seg-001,,start,approximate 坐标,"健德门 (39.976, 116.381) source=manual approximate Yuan Dadu Jiandemen area",该地名和 approximate 坐标是否需要人工核对？,,
seg-001,,via[1],approximate 坐标,"小月河 (40.008, 116.37) source=manual modern river corridor approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-001,,via[2],approximate 坐标,"清河 (40.035, 116.34) source=manual modern place/river approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-001,,via[3],approximate 坐标,"广济桥 (40.04, 116.34) source=manual historic bridge area approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-001,,via[4],approximate 坐标,"皇后店 (40.115, 116.245) source=manual modern village approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-001,,via[5],approximate 坐标,"南沙河水库 (40.104, 116.256) source=manual modern river crossing approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-001,,via[6],approximate 坐标,"南玉河村 (40.118, 116.195) source=manual modern village approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-001,,via[7],approximate 坐标,"北玉河村 (40.143, 116.177) source=manual modern village approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-001,,end,approximate 坐标,"皂甲屯 (40.128, 116.186) source=manual modern village approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-002,60,book_refs,书中路线证据核对,沿街北行到小学，西行离开旧县村,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,正文说明旧县村内外行走方向。
seg-002,64,book_refs,书中路线证据核对,龙虎台村就在古代的龙虎台上,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,正文确认途经龙虎台村及其历史位置。
seg-002,56,book_refs,书中路线证据核对,背包明显变重了。晴空湛蓝，又一个高亢的暑天,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,支持背包变重和暑热背景。
seg-002,58,book_refs,书中路线证据核对,既然它不让我走，我只好绕道了,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,支持路上因犬只阻路而绕行。
seg-002,54,chapter_refs,章节出处核对,从昌平到居庸关,该引用是否只是章节/段落标题出处，而非路线事实证据？,,章节或段落标题来源
seg-002,,water_sources,书中未明示,书中未明示。,该字段是否确实无书中明示依据？,,
seg-002,,lodging,书中未明示,书中未明示。,该字段是否确实无书中明示依据？,,
seg-002,,evidence_status,evidence_status 非 pass,warning,该段证据清理后的 warning 状态是否符合你的人工判断？,,
seg-002,,evidence_notes,证据处理说明核对,已将 1 条章节/路线标题引用移入 chapter_refs，book_refs 仅保留路线事实证据。,该证据处理说明是否需要调整？,,
seg-002,,evidence_notes,证据处理说明核对,risks_or_notes: supported_with_new_book_ref; 已按书中证据清理。,该证据处理说明是否需要调整？,,
seg-002,54,review_notes,复核备注,第54页标题页 OCR 出现“哈旧县”等噪声，已按正文改为旧县村，需回看 PDF 第54页。,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-002,,review_notes,复核备注,[evidence_audit] unsupported_claim: risks_or_notes: 暑热、背包变重、路上犬只绕行,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-002,,review_notes,复核备注,[evidence_audit] needs_pdf_review: 引用页 OCR 标记需复核: 54,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-002,,start,approximate 坐标,"昌平镇 (40.2207, 116.2312) source=manual modern town center",该地名和 approximate 坐标是否需要人工核对？,,
seg-002,,via[1],approximate 坐标,"旧县村 (40.252, 116.18) source=manual modern village approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-002,,via[2],approximate 坐标,"龙虎台村 (40.276, 116.153) source=manual modern village approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-002,,via[3],approximate 坐标,"南口村 (40.239, 116.128) source=manual modern town approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-002,,via[4],approximate 坐标,"居庸关云台 (40.288, 116.068) source=manual historic site approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-003,88,book_refs,书中路线证据核对,从水关长城向上，就没有谷底河道可行了,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,正文说明关沟内道路变化和水关长城之后的行走方式。
seg-003,96,book_refs,书中路线证据核对,从岔道城经小泥河村、大泥河村，以大榆树镇为今日的目的地,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,正文明确岔道城后的实际取路。
seg-003,98,book_refs,书中路线证据核对,离大榆树镇还有二十几分钟的路程。我决定就到这里,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,正文显示当天实际步行在大榆树镇前结束，后续有乘车。
seg-003,76,chapter_refs,章节出处核对,从居庸关到延庆,该引用是否只是章节/段落标题出处，而非路线事实证据？,,章节或段落标题来源
seg-003,,lodging,书中未明示,书中未明示,该字段是否确实无书中明示依据？,,
seg-003,,evidence_status,evidence_status 非 pass,warning,该段证据清理后的 warning 状态是否符合你的人工判断？,,
seg-003,,evidence_notes,证据处理说明核对,已将 1 条章节/路线标题引用移入 chapter_refs，book_refs 仅保留路线事实证据。,该证据处理说明是否需要调整？,,
seg-003,,evidence_notes,证据处理说明核对,lodging: cleared_to_unspecified; 未找到能直接支持“无本段步行住宿”的正面证据；保留为复核说明。,该证据处理说明是否需要调整？,,
seg-003,76,review_notes,复核备注,第76页标题页 OCR 将“八达岭关城”识别为“达岭关城”，已据正文第88页校正。,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-003,88,review_notes,复核备注,第76页标题页 OCR 将“八达岭关城”识别为“达岭关城”，已据正文第88页校正。,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-003,98,review_notes,复核备注,第98页显示步行未连续到延庆旧县镇，居庸关到延庆之间存在需要人工确认的断点。,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-003,,review_notes,复核备注,[evidence_audit] unsupported_claim: lodging: 无本段步行住宿,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-003,,review_notes,复核备注,[evidence_audit] needs_pdf_review: 引用页 OCR 标记需复核: 76,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-003,,review_notes,复核备注,证据不足，待人工复核：lodging 原内容：无本段步行住宿；作者坐车返回居庸关/中关村休整。,该复核备注是否仍成立？是否需要回看原书扫描页？,,
seg-003,98,gap_notes,断点/GPX 规则,第98页及复核备注显示当天行走未连续到延庆旧县镇，后续存在乘车返回/休整信息。,是否确认存在乘车、补走、断点或不应强连 GPX？,,
seg-003,,gap_notes,断点/GPX 规则,书中存在乘车/断点复核说明，不应与前后段强行连成连续徒步轨迹。,是否确认存在乘车、补走、断点或不应强连 GPX？,,
seg-003,,gap_notes,断点/GPX 规则,该段只导出 waypoint，不作为连续 GPX track。,是否确认存在乘车、补走、断点或不应强连 GPX？,,
seg-003,,movement_type,状态高亮复核,mixed,该状态是否与书中证据、复核备注和 GPX 导出规则一致？,,walkable_block=
seg-003,,continuity_status,状态高亮复核,gap_after,该状态是否与书中证据、复核备注和 GPX 导出规则一致？,,walkable_block=
seg-003,,modern_followability,状态高亮复核,needs_field_check,该状态是否与书中证据、复核备注和 GPX 导出规则一致？,,walkable_block=
seg-003,,do_not_connect_in_gpx,状态高亮复核,True,该状态是否与书中证据、复核备注和 GPX 导出规则一致？,,walkable_block=
seg-003,,via[1],approximate 坐标,"弹琴峡 (40.305, 116.06) source=manual gorge area approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-003,,via[2],approximate 坐标,"水关长城 (40.333, 116.035) source=manual modern scenic site approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-003,,via[4],approximate 坐标,"岔道城 (40.365, 115.995) source=manual historic village approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-003,,via[5],approximate 坐标,"小泥河村 (40.401, 115.975) source=manual modern village approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-003,,via[6],approximate 坐标,"大泥河村 (40.414, 115.957) source=manual modern village approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-003,,via[7],approximate 坐标,"大榆树镇 (40.432, 115.94) source=manual modern town approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-003,,end,approximate 坐标,"延庆旧县镇 (40.497, 116.05) source=manual modern town approximation",该地名和 approximate 坐标是否需要人工核对？,,
seg-004,104,book_refs,书中路线证据核对,今昌赤路（即212省道）从车坊向北，一路缓坡上升,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,正文说明车坊至黑峪口方向和道路。
seg-004,114,book_refs,书中路线证据核对,沿昌赤路（S212）在水库边走半小时之后,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,正文说明到达白河堡水库后的水库边道路。
seg-004,102,book_refs,书中路线证据核对,吃完早饭，我们告别延庆，坐出租车前往旧县镇，从那里开始走去白河堡水库,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,支持本段从延庆/旧县镇开始走向白河堡水库。
seg-004,111,book_refs,书中路线证据核对,盘云岭山口是由地质学上所说的盘云岭断层形成的,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,支持本段经过盘云岭山口。
seg-004,115,book_refs,书中路线证据核对,找到水库库区管理所的燕山天池宾馆,短摘是否确在该页，且是否支持本段起终点、途经地、方向、道路/水源/补给/住宿/风险等路线事实？,,支持本段住宿地点。
seg-004,100,chapter_refs,章节出处核对,从延庆旧县镇到白河堡水库,该引用是否只是章节/段落标题出处，而非路线事实证据？,,章节或段落标题来源
seg-004,,resupply,书中未明示,书中未明示。,该字段是否确实无书中明示依据？,,
seg-004,,evidence_status,evidence_status 非 pass,warning,该段证据清理后的 warning 状态是否符合你的人工判断？,,
